Total sizes:,,,
Used static DRAM,73828 bytes (50752 remain 59.3% used),,,
.data size,24908 bytes,,,
.bss  size,48920 bytes,,,
Used static IRAM,130634 bytes (438 remain 99.7% used),,,
.text size,129607 bytes,,,
.vectors size,1027 bytes,,,
Used Flash size ,1349255 bytes,,,
.text,1040963 bytes,,,
.rodata,308036 bytes,,,
Total image size,1504797 bytes (.bin may be padded larger),,,
Per-file contributions to ELF file:
Object File,DRAM .data,& 0.bss,IRAM0 .text,& 0.vectors,ram_st_total,Flash .text,& .rodata,& .rodata_noload,& .appdesc
ieee80211_supplicant.o,4,160,0,0,164,3767,122,265,0
NimBLEServer.cpp.obj,4,0,0,0,4,3802,76,0,0
udp.c.obj,2,4,0,0,6,3759,50,0,0
hal_mac.o,0,0,527,0,527,3247,6,0,0
esp_sha256.c.obj,0,0,0,0,0,3389,320,0,0
esp_mmu_map.c.obj,4,124,753,0,881,2803,142,0,0
netif.c.obj,0,265,0,0,265,3327,303,0,0
coexist_scheme.o,1181,60,113,0,1354,2311,22,0,0
sdmmc_cmd.c.obj,0,0,0,0,0,3361,230,0,0
libc_a-dtoa.o,0,0,0,0,0,3569,0,0,0
pkparse.c.obj,0,0,0,0,0,3567,0,0,0
intr_alloc.c.obj,8,22,769,0,799,2655,131,0,0
aria.c.obj,0,0,0,0,0,2479,1072,0,0
dbg_task.o,0,0,0,0,0,3185,328,0,0
i2s_stream_idf5.c.obj,0,344,0,0,344,3426,41,0,0
ble_app.cpp.obj,8,4,0,0,12,3331,100,0,0
rtc_clk.c.obj,23,4,3317,0,3344,0,0,0,0
sdspi_host.c.obj,0,12,0,0,12,3271,27,0,0
esp_flash_api.c.obj,84,0,2851,0,2935,24,245,0,0
dhcpserver.c.obj,0,0,0,0,0,3137,27,0,0
cJSON.c.obj,12,8,0,0,20,3088,0,0,0
cipher.c.obj,0,0,0,0,0,3100,0,0,0
esp_tls.c.obj,0,0,0,0,0,3083,0,0,0
sha3.c.obj,0,0,0,0,0,3025,48,0,0
sae_pk.c.obj,0,0,0,0,0,2012,1056,0,0
wpa_common.c.obj,0,0,0,0,0,3039,12,0,0
x509.c.obj,0,0,0,0,0,3034,0,0,0
libm_a-e_pow.o,0,0,0,0,0,2970,48,0,0
spi_flash_chip_generic.c,250,0,2750,0,3000,0,0,0,0
ts_parser.c.obj,0,0,0,0,0,2947,0,0,0
libc_a-mprec.o,0,0,0,0,0,2638,296,0,0
ieee80211_timer.o,256,0,0,0,256,1442,1193,0,0
esp_tls_mbedtls.c.obj,0,4,0,0,4,2770,92,0,0
ble_sm_sc.c.obj,0,97,0,0,97,2803,50,0,0
periph_ctrl.c.obj,8,34,508,0,550,2254,63,0,0
etharp.c.obj,0,241,0,0,241,2710,121,0,0
ieee80211.o,0,680,0,0,680,2369,462,0,0
esp_event.c.obj,0,0,0,0,0,2709,121,0,0
llm_hci.o,0,0,0,0,0,2803,0,0,0
spi_hal_iram.c.obj,48,0,2715,0,2763,0,0,0,0
i2s_std.c.obj,0,0,0,0,0,2546,163,0,0
pbuf.c.obj,0,1,0,0,1,2536,170,0,0
sdmmc_sd.c.obj,0,0,0,0,0,2438,268,0,0
i2s_hal.c.obj,0,0,0,0,0,2695,0,0,0
esf_buf.o,328,192,589,0,1109,1306,449,0,0
huart.o,0,4,1006,0,1010,1613,0,0,0
