Total sizes:,,,
Used static DRAM,73828 bytes (50752 remain 59.3% used),,,
.data size,24908 bytes,,,
.bss  size,48920 bytes,,,
Used static IRAM,130634 bytes (438 remain 99.7% used),,,
.text size,129607 bytes,,,
.vectors size,1027 bytes,,,
Used Flash size ,1349255 bytes,,,
.text,1040963 bytes,,,
.rodata,308036 bytes,,,
Total image size,1504797 bytes (.bin may be padded larger),,,
Per-file contributions to ELF file:
Object File,DRAM .data,& 0.bss,IRAM0 .text,& 0.vectors,ram_st_total,Flash .text,& .rodata,& .rodata_noload,& .appdesc
wifi_netif.c.obj,0,24,60,0,84,420,0,0,0
esp_netif_handlers.c.obj,0,0,0,0,0,446,27,0,0
cache_hal_esp32.c.obj,30,8,441,0,479,0,0,0,0
spi_flash_hal.c.obj,0,0,0,0,0,470,0,0,0
libc_a-locale.o,4,0,0,0,4,100,364,0,0
comeback_token.c.obj,0,0,0,0,0,466,0,0,0
pvmp3_polyphase_filter_w,0,0,465,0,465,0,0,0,0
nvs_item_hash_list.cpp.o,0,0,0,0,0,465,0,0,0
rtc_module.c.obj,32,4,184,0,220,247,0,0,0
os_mempool.c.obj,8,0,0,0,8,453,0,0,0
newlib_init.c.obj,144,0,0,0,144,317,0,0,0
libc_a-gdtoa-hexnan.o,0,0,0,0,0,459,0,0,0
esp_dma_utils.c.obj,0,0,0,0,0,403,56,0,0
dh_groups.c.obj,0,0,0,0,0,42,417,0,0
esp_clk_tree.c.obj,0,0,0,0,0,426,29,0,0
crosscore_int.c.obj,8,8,255,0,271,146,46,0,0
NimBLEDescriptor.cpp.obj,4,0,0,0,4,422,28,0,0
clk_ctrl_os.c.obj,8,8,0,0,16,367,74,0,0
ets_timer_legacy.c.obj,0,0,260,0,260,140,47,0,0
esp_app_desc.c.obj,0,10,0,0,10,184,4,0,256
mpi_hal.c.obj,0,0,0,0,0,417,27,0,0
esp_wpas_glue.c.obj,0,0,0,0,0,444,0,0,0
ble_store_util.c.obj,0,0,0,0,0,439,0,0,0
audio_hal.c.obj,0,0,0,0,0,421,15,0,0
spi_flash_chip_gd.c.obj,127,0,307,0,434,0,0,0,0
board.c.obj,0,4,0,0,4,363,68,0,0
ieee80211_nan_common.o,0,356,0,0,356,391,39,0,0
ieee80211_proto.o,0,1,0,0,1,429,0,55,0
http_utils.c.obj,0,0,0,0,0,378,50,0,0
sockets_ext.c.obj,0,0,0,0,0,427,0,0,0
ip6_addr.c.obj,0,0,0,0,0,400,24,0,0
libc_a-tzcalc_limits.o,0,0,0,0,0,422,0,0,0
ieee80211_crypto_sms4.o,24,0,0,0,24,336,61,0,0
diskio.c.obj,0,8,0,0,8,396,23,0,0
hci_msg.o,0,0,0,0,0,265,148,0,0
libc_a-strtoull.o,0,0,0,0,0,412,0,0,0
libc_a-strtoll.o,0,0,0,0,0,408,0,0,0
ieee80211_reg_db.o,230,0,0,0,230,128,49,0,0
flash_mmap.c.obj,0,0,122,0,122,267,17,0,0
task_wdt_impl_timergroup,0,12,0,0,12,402,0,0,0
ip4_frag.c.obj,0,0,0,0,0,389,9,0,0
xtensa_context.S.obj,0,0,394,0,394,0,0,0,0
ethernet.c.obj,0,0,0,0,0,365,28,0,0
idf_additions.c.obj,0,0,0,0,0,345,46,0,0
sha_hal.c.obj,0,0,0,0,0,391,0,0,0
audio_volume.c.obj,0,0,0,0,0,288,100,0,0
libm_a-math_err.o,0,0,0,0,0,386,0,0,0
vfs_lwip.c.obj,0,0,26,0,26,327,30,0,0
ip6_frag.c.obj,0,4,0,0,4,373,9,0,0
coexist_timer.o,42,0,239,0,281,98,0,0,0
wlanif.c.obj,0,0,0,0,0,365,12,0,0
coexist_api.o,8,0,92,0,100,274,0,0,0
esp_clk.c.obj,9,0,72,0,81,293,0,0,0
sdmmc_init.c.obj,0,0,0,0,0,374,0,0,0
codec_element_helper.c.o,0,0,0,0,0,370,0,0,0
llm_task.o,0,0,0,0,0,369,0,0,0
sta_info.c.obj,0,0,0,0,0,362,0,0,0
NimBLEUUID.cpp.obj,0,0,0,0,0,333,28,0,0
constant_time.c.obj,0,0,0,0,0,357,0,0,0
assert.c.obj,0,0,356,0,356,0,0,0,0
i2c_hal_iram.c.obj,0,0,352,0,352,0,0,0,0
lm_task.o,0,0,0,0,0,351,0,0,0
memp.c.obj,0,0,0,0,0,205,146,0,0
int_wdt.c.obj,0,9,102,0,111,248,0,0,0
si_class_type_info.o,0,0,0,0,0,304,44,0,0
nimble_port.c.obj,0,8,69,0,77,237,40,0,0
sar_periph_ctrl.c.obj,0,4,0,0,4,326,20,0,0
pvmp3_dct_9.cpp.obj,0,0,0,0,0,344,0,0,0
nvs_encrypted_partition.,0,0,0,0,0,292,52,0,0
nvs_partition.cpp.obj,0,0,0,0,0,239,104,0,0
esp_netif_objects.c.obj,0,8,0,0,8,304,38,0,0
llc_task.o,0,0,0,0,0,341,0,0,0
sdspi_crc.c.obj,0,0,0,0,0,84,256,0,0
ieee80211_crypto_tkip.o,24,0,0,0,24,316,0,0,0
esp_flash_spi_init.c.obj,76,4,0,0,80,253,10,0,0
pvmp3_huffman_decoding.c,0,0,0,0,0,332,0,0,0
freertos_hooks.c.obj,8,128,43,0,179,278,0,0,0
class_type_info.o,0,0,0,0,0,282,44,0,0
rwbt.o,0,0,300,0,300,23,0,0,0
ieee80211_action_vendor.,0,12,0,0,12,318,0,0,0
ieee802_11_common.c.obj,0,0,0,0,0,315,0,0,0
log_buffers.c.obj,0,0,0,0,0,314,0,0,0
ap_config.c.obj,0,0,0,0,0,313,0,0,0
windowspill_asm.o,0,0,311,0,311,0,0,0,0
wav_head.c.obj,0,0,0,0,0,306,0,0,0
os_msys_init.c.obj,0,88,0,0,88,285,18,0,0
libc_a-fgets.o,0,0,0,0,0,302,0,0,0
libm_a-e_log10.o,0,0,0,0,0,300,0,0,0
misc_nvs.o,0,33,0,0,33,255,43,0,0
pvmp3_getbits.cpp.obj,0,0,0,0,0,293,0,0,0
board_pins_config.c.obj,0,0,0,0,0,266,26,0,0
tcp_isn_default.c.obj,0,68,0,0,68,292,0,0,0
net_sockets.c.obj,0,0,0,0,0,292,0,0,0
vflash.o,0,2060,0,0,2060,289,0,0,0
libc_a-refill.o,0,0,0,0,0,289,0,0,0
regi2c_ctrl.c.obj,8,0,276,0,284,0,0,0,0
asn1write.c.obj,0,0,0,0,0,283,0,0,0
list.c.obj,0,0,231,0,231,48,0,0,0
esp_time_impl.c.obj,0,12,0,0,12,279,0,0,0
headphone_detect.c.obj,0,4,50,0,54,228,0,0,0
spi_flash_encrypt_hal_ir,36,0,241,0,277,0,0,0,0
interrupts.c.obj,0,0,0,0,0,0,276,0,0
libc_a-fopen.o,0,0,0,0,0,272,0,0,0
transport_internal.c.obj,0,0,0,0,0,225,40,0,0
ble_hs_hci_util.c.obj,0,0,0,0,0,263,0,0,0
eif.o,0,0,21,0,21,242,0,0,0
task.o,0,16,71,0,87,192,0,0,0
sleep_gpio.c.obj,0,0,0,0,0,235,28,0,0
gpio_hal.c.obj,0,0,0,0,0,259,0,0,0
libm_a-s_scalbn.o,0,0,0,0,0,259,0,0,0
pvmp3_reorder.cpp.obj,0,0,0,0,0,258,0,0,0
lib_printf.c.obj,0,0,0,0,0,257,0,0,0
highint_hdl.S.obj,0,0,257,0,257,0,0,0,0
lwip_default_hooks.c.obj,0,0,0,0,0,257,0,0,0
libc_a-fread.o,0,0,0,0,0,256,0,0,0
pk_ecc.c.obj,0,0,0,0,0,251,0,0,0
sha256-prf.c.obj,0,0,0,0,0,250,0,0,0
pvmp3_poly_phase_synthes,0,0,0,0,0,249,0,0,0
log_freertos.c.obj,0,8,249,0,257,0,0,0,0
libc_a-makebuf.o,0,0,0,0,0,247,0,0,0
esp_tls_error_capture.c.,0,0,0,0,0,247,0,0,0
aes_hal.c.obj,0,0,0,0,0,247,0,0,0
spi_flash_chip_mxic.c.ob,129,0,118,0,247,0,0,0,0
libc_a-impure.o,244,0,0,0,244,0,0,0,0
http_auth.c.obj,0,0,0,0,0,228,16,0,0
nvds.o,0,0,0,0,0,243,0,0,0
ble_l2cap_sig_cmd.c.obj,0,0,0,0,0,240,0,0,0
NimBLEAddress.cpp.obj,0,0,0,0,0,240,0,0,0
spi_flash_chip_issi.c.ob,129,0,111,0,240,0,0,0,0
libm_a-w_pow.o,0,0,0,0,0,239,0,0,0
esp_common.c.obj,0,168,0,0,168,237,0,0,0
ieee80211_ets.o,0,0,0,0,0,173,63,0,0
ld_acl.o,0,7,48,0,55,187,0,0,0
hal_utils.c.obj,0,0,0,0,0,234,0,0,0
eh_globals.o,0,13,0,0,13,212,20,0,0
sdk_config.o,2,51,101,0,154,126,0,0,0
flash_ops.c.obj,8,4,91,0,103,108,22,0,0
pvmp3_dct_6.cpp.obj,0,0,0,0,0,228,0,0,0
sha256-kdf.c.obj,0,0,0,0,0,228,0,0,0
brownout.c.obj,47,0,95,0,142,79,5,0,0
libc_a-snprintf.o,0,0,0,0,0,223,0,0,0
pvmp3_mpeg2_get_scale_fa,0,0,0,0,0,223,0,0,0
aes-unwrap.c.obj,0,0,0,0,0,222,0,0,0
ieee80211_mesh_quick.o,7,180,0,0,187,212,0,0,0
ieee80211_nan_disc.o,0,0,0,0,0,219,0,0,0
port_common.c.obj,0,0,0,0,0,154,61,0,0
esp_cache.c.obj,25,0,189,0,214,0,0,0,0
pvmp3_decode_header.cpp.,0,0,0,0,0,213,0,0,0
ble_hs_misc.c.obj,0,0,0,0,0,206,6,0,0
default_event_loop.c.obj,0,4,0,0,4,191,20,0,0
crypto_ops.c.obj,0,0,0,0,0,95,116,0,0
ke_msg.o,0,35,186,0,221,20,0,0,0
pvmp3_mdct_6.cpp.obj,0,0,0,0,0,179,24,0,0
heap_idf.c.obj,0,0,0,0,0,201,0,0,0
libc_a-reent.o,0,0,0,0,0,200,0,0,0
libc_a-sscanf.o,0,0,0,0,0,200,0,0,0
gpio_periph.c.obj,40,0,0,0,40,0,160,0,0
eh_catch.o,0,0,0,0,0,198,0,0,0
libc_a-siscanf.o,0,0,0,0,0,196,0,0,0
mem.c.obj,0,0,0,0,0,175,20,0,0
aes-wrap.c.obj,0,0,0,0,0,194,0,0,0
endian.c.obj,0,0,0,0,0,192,0,0,0
brownout_hal.c.obj,0,0,0,0,0,192,0,0,0
libc_a-fwrite.o,0,0,0,0,0,188,0,0,0
ieee80211_debug.o,0,64,0,0,64,188,0,0,0
rc4.c.obj,0,0,0,0,0,185,0,0,0
wpabuf.c.obj,0,0,0,0,0,183,0,0,0
esp_ota_ops.c.obj,0,4,0,0,4,152,30,0,0
libc_a-asprintf.o,0,0,0,0,0,178,0,0,0
libc_a-wsetup.o,0,0,0,0,0,174,0,0,0
rtc_analog.o,0,0,173,0,173,0,0,0,0
ble_hs_stop.c.obj,0,21,0,0,21,171,0,0,0
libc_a-sprintf.o,0,0,0,0,0,171,0,0,0
hal_mac_rx.o,0,0,170,0,170,0,0,0,0
esp_efuse_api.c.obj,0,0,0,0,0,166,0,0,0
pvmp3_normalize.cpp.obj,0,0,0,0,0,166,0,0,0
ieee80211_crypto_wep.o,24,0,0,0,24,142,0,0,0
efuse_hal.c.obj,0,0,164,0,164,0,0,0,0
hw_random.c.obj,0,4,72,0,76,74,16,0,0
libc_a-puts.o,0,0,0,0,0,158,0,0,0
chip_info.c.obj,0,0,0,0,0,158,0,0,0
libc_a-putc.o,0,0,0,0,0,156,0,0,0
abort.c.obj,0,0,156,0,156,0,0,0,0
ble_hs_mbuf.c.obj,0,0,0,0,0,154,0,0,0
sha1-prf.c.obj,0,0,0,0,0,154,0,0,0
ble_hs_mqueue.c.obj,0,0,0,0,0,153,0,0,0
heap.c.obj,0,0,151,0,151,0,0,0,0
libc_a-fputs.o,0,0,0,0,0,148,0,0,0
functional.o,0,0,0,0,0,93,54,0,0
netbuf.c.obj,0,0,0,0,0,133,13,0,0
esp_err.c.obj,0,0,145,0,145,0,0,0,0
system_time.c.obj,0,8,35,0,43,110,0,0,0
xtensa_intr.c.obj,0,0,26,0,26,119,0,0,0
def.c.obj,0,0,0,0,0,144,0,0,0
eh_exception.o,0,0,0,0,0,64,80,0,0
audio_mem.c.obj,0,0,0,0,0,143,0,0,0
ble_att_cmd.c.obj,0,0,0,0,0,143,0,0,0
esp_aes_common.c.obj,0,0,0,0,0,143,0,0,0
ble_hs_hci_cmd.c.obj,0,0,0,0,0,142,0,0,0
codec_tick.c.obj,0,0,0,0,0,142,0,0,0
cache_err_int.c.obj,0,0,0,0,0,141,0,0,0
ip.c.obj,0,68,0,0,68,113,24,0,0
esp_system.c.obj,0,20,0,0,20,135,0,0,0
pvmp3_get_main_data_size,0,0,0,0,0,131,0,0,0
sleep_modes.c.obj,8,12,0,0,20,123,0,0,0
ethip6.c.obj,0,0,0,0,0,130,0,0,0
spi_flash_os_func_noos.c,40,0,90,0,130,0,0,0,0
libc_a-vsnprintf.o,0,0,0,0,0,129,0,0,0
libc_a-flags.o,0,0,0,0,0,128,0,0,0
ieee80211_ie_vendor.o,0,0,0,0,0,126,0,0,0
config_funcs.o,0,0,0,0,0,125,0,0,0
ffsystem.c.obj,0,12,0,0,12,125,0,0,0
mem.c.obj,0,0,0,0,0,122,0,0,0
libm_a-w_log10.o,0,0,0,0,0,122,0,0,0
addr.c.obj,0,0,0,0,0,121,0,0,0
new_op.o,0,0,0,0,0,75,46,0,0
ble_hs_atomic.c.obj,0,0,0,0,0,116,0,0,0
libc_a-fputc.o,0,0,0,0,0,116,0,0,0
tinfo.o,0,0,0,0,0,84,32,0,0
esp_ipc_isr_handler.S.ob,16,0,95,0,111,0,0,0,0
err.c.obj,0,0,0,0,0,42,68,0,0
plf_funcs.o,0,12,0,0,12,0,108,0,0
spi_periph.c.obj,0,0,0,0,0,0,108,0,0
esp_system_chip.c.obj,0,0,67,0,67,40,0,0,0
os_xtensa.c.obj,0,0,0,0,0,106,0,0,0
nvs_types.cpp.obj,0,0,0,0,0,104,0,0,0
pvmp3_crc.cpp.obj,0,0,0,0,0,102,0,0,0
esp_platform_time.c.obj,0,0,0,0,0,102,0,0,0
libc_a-gettzinfo.o,88,0,0,0,88,12,0,0,0
esp_efuse_table.c.obj,60,0,0,0,60,0,40,0,0
mp4_parser.c.obj,0,0,0,0,0,98,0,0,0
wl_offchan.o,0,8,0,0,8,98,0,0,0
cow-stdexcept.o,0,0,0,0,0,86,12,0,0
libc_a-fprintf.o,0,0,0,0,0,96,0,0,0
libc_a-month_lengths.o,0,0,0,0,0,0,96,0,0
libm_a-s_frexp.o,0,0,0,0,0,95,0,0,0
esp_md.c.obj,0,0,0,0,0,95,0,0,0
esp_owe.c.obj,0,0,0,0,0,95,0,0,0
libc_a-printf.o,0,0,0,0,0,94,0,0,0
crc16.cpp.obj,0,0,0,0,0,92,0,0,0
ble_sm_cmd.c.obj,0,0,0,0,0,90,0,0,0
audio_mutex.c.obj,0,0,0,0,0,89,0,0,0
ogg_decoder.c.obj,0,0,0,0,0,89,0,0,0
_divsf3.o,0,0,0,0,0,89,0,0,0
hal_tsf.o,0,0,0,0,0,89,0,0,0
syscalls.c.obj,0,0,0,0,0,88,0,0,0
eh_throw.o,0,0,0,0,0,88,0,0,0
pvmp3_seek_synch.cpp.obj,0,0,0,0,0,87,0,0,0
co_utils.o,0,0,65,0,65,20,0,0,0
libc_a-vasprintf.o,0,0,0,0,0,85,0,0,0
nimble_port_freertos.c.o,0,4,0,0,4,84,0,0,0
esp_rom_uart.c.obj,0,0,83,0,83,0,0,0,0
led_app.cpp.obj,0,0,0,0,0,83,0,0,0
dbg.o,0,0,0,0,0,66,16,0,0
aac_decoder.c.obj,0,0,0,0,0,81,0,0,0
libc_a-mbrtowc.o,0,0,0,0,0,80,0,0,0
cpu_region_protect.c.obj,0,0,0,0,0,59,20,0,0
esp_pbuf_ref.c.obj,0,0,0,0,0,79,0,0,0
phy_common.c.obj,0,2,0,0,2,79,0,0,0
bad_cast.o,0,0,0,0,0,58,20,0,0
bad_typeid.o,0,0,0,0,0,58,20,0,0
opus_decoder.c.obj,0,0,0,0,0,77,0,0,0
time_spent.cpp.obj,0,0,0,0,0,77,0,0,0
eh_terminate.o,0,0,0,0,0,61,16,0,0
mpu_hal.c.obj,0,0,0,0,0,76,0,0,0
osi.o,0,4,0,0,4,74,0,0,0
flash_brownout_hook.c.ob,0,2,74,0,76,0,0,0,0
bad_alloc.o,0,0,0,0,0,54,20,0,0
bad_array_new.o,0,0,0,0,0,54,20,0,0
nvs_partition_lookup.cpp,0,0,0,0,0,73,0,0,0
ext_mem_layout.c.obj,0,0,0,0,0,0,72,0,0
esp_ipc_isr_port.c.obj,0,0,40,0,40,32,0,0,0
uart_periph.c.obj,0,0,0,0,0,0,72,0,0
cache_esp32.c.obj,8,0,59,0,67,0,0,0,0
libc_a-mbtowc_r.o,0,0,0,0,0,64,0,0,0
panic_handler_asm.S.obj,0,0,64,0,64,0,0,0,0
port_systick.c.obj,0,0,39,0,39,25,0,0,0
sha256.c.obj,0,0,0,0,0,62,0,0,0
sha512.c.obj,0,0,0,0,0,62,0,0,0
state_asm--restore_extra,0,0,62,0,62,0,0,0,0
state_asm--save_extra_nw,0,0,62,0,62,0,0,0,0
libc_a-vprintf.o,0,0,0,0,0,61,0,0,0
wav_decoder.c.obj,0,0,0,0,0,61,0,0,0
ll.o,0,0,49,0,49,11,0,0,0
codec_mem.c.obj,0,0,0,0,0,60,0,0,0
dueros_esp_flash.c.obj,0,0,0,0,0,58,0,0,0
cxx_exception_stubs.cpp.,0,0,0,0,0,57,0,0,0
phy_override.c.obj,0,1,0,0,1,57,0,0,0
libc_a-getenv.o,0,0,0,0,0,56,0,0,0
libc_a-time.o,0,0,0,0,0,56,0,0,0
libc_a-fwalk.o,0,0,0,0,0,55,0,0,0
bt_osi_mem.c.obj,0,0,52,0,52,0,0,0,0
lld_util.o,0,0,0,0,0,52,0,0,0
platform.c.obj,8,0,0,0,8,43,0,0,0
platform_util.c.obj,0,0,0,0,0,47,4,0,0
new_opvnt.o,0,0,0,0,0,35,16,0,0
pp_debug.o,4,252,23,0,279,23,0,0,0
libc_a-fseek.o,0,0,0,0,0,49,0,0,0
md5.c.obj,0,0,0,0,0,49,0,0,0
sha1.c.obj,0,0,0,0,0,49,0,0,0
esp_efuse_api_key.c.obj,0,0,0,0,0,48,0,0,0
sdmmc_periph.c.obj,0,0,0,0,0,0,48,0,0
ble_hs_log.c.obj,0,0,0,0,0,47,0,0,0
random.o,0,0,0,0,0,46,0,0,0
reent_init.c.obj,0,0,45,0,45,0,0,0,0
ieee80211_rfid.o,0,0,0,0,0,44,0,0,0
libc_a-localeconv.o,0,0,0,0,0,43,0,0,0
libc_a-tzlock.o,0,0,0,0,0,42,0,0,0
ble_hs_cfg.c.obj,40,0,0,0,40,0,0,0,0
esp_tls_crypto.c.obj,0,0,0,0,0,40,0,0,0
esp_crypto_lock.c.obj,0,4,0,0,4,40,0,0,0
esp_netif_defaults.c.obj,0,0,0,0,0,0,40,0,0
i2s_periph.c.obj,0,0,0,0,0,0,40,0,0
nvs_platform.cpp.obj,0,4,0,0,4,39,0,0,0
dport_access_common.c.ob,0,0,0,0,0,39,0,0,0
libc_a-tzset.o,0,0,0,0,0,37,0,0,0
esp_decoder.c.obj,0,0,0,0,0,36,0,0,0
esp_mem.c.obj,0,0,0,0,0,34,0,0,0
esp_timer_impl_common.c.,24,0,9,0,33,0,0,0,0
dport_access.c.obj,0,0,33,0,33,0,0,0,0
xtensa_init.c.obj,0,4,32,0,36,0,0,0,0
init.c.obj,0,0,0,0,0,32,0,0,0
interrupts--intlevel.o,0,0,0,0,0,0,32,0,0
bootloader_efuse.c.obj,0,0,30,0,30,0,0,0,0
esp_gpio_reserve.c.obj,0,8,29,0,37,0,0,0,0
esp_memory_utils.c.obj,0,0,29,0,29,0,0,0,0
debug_helpers_asm.S.obj,0,0,29,0,29,0,0,0,0
libc_a-iswspace_l.o,0,0,0,0,0,28,0,0,0
spi_flash_chip_drivers.c,28,0,0,0,28,0,0,0,0
esp_eap_client.c.obj,0,4,0,0,4,28,0,0,0
libc_a-syslseek.o,0,0,0,0,0,25,0,0,0
libc_a-rename.o,0,0,0,0,0,24,0,0,0
libc_a-sysgettod.o,0,0,0,0,0,24,0,0,0
libc_a-sysstat.o,0,0,0,0,0,24,0,0,0
i2c_periph.c.obj,0,0,0,0,0,0,24,0,0
libm_a-s_finite.o,0,0,0,0,0,21,0,0,0
new_handler.o,0,4,0,0,4,20,1,0,0
mpi_periph.c.obj,0,0,0,0,0,0,20,0,0
esp_rom_sys.c.obj,0,0,19,0,19,0,0,0,0
esp_hardware.c.obj,0,0,0,0,0,19,0,0,0
libc_a-iswspace.o,0,0,0,0,0,17,0,0,0
phy.o,0,0,0,0,0,16,0,0,0
new_opv.o,0,0,0,0,0,16,0,0,0
esp_tls_platform_port.c.,0,0,0,0,0,15,0,0,0
sdmmc_hal.c.obj,0,0,0,0,0,14,0,0,0
libm_a-s_nan.o,0,0,0,0,0,14,0,0,0
del_op.o,0,0,0,0,0,14,0,0,0
del_ops.o,0,0,0,0,0,14,0,0,0
del_opv.o,0,0,0,0,0,14,0,0,0
del_opvs.o,0,0,0,0,0,14,0,0,0
libc_a-errno.o,0,0,0,0,0,13,0,0,0
libc_a-findfp.o,12,316,0,0,328,0,0,0,0
esp_netif_lwip_defaults.,4,0,0,0,4,0,8,0,0
libm_a-s_fabs.o,0,0,0,0,0,12,0,0,0
pthread.c.obj,0,0,0,0,0,12,0,0,0
libm_a-sf_nan.o,0,0,0,0,0,11,0,0,0
flash_encrypt.c.obj,0,0,10,0,10,0,0,0,0
led.o,0,0,0,0,0,10,0,0,0
esp_ipc_isr_routines.S.o,0,0,10,0,10,0,0,0,0
bootloader_mem.c.obj,0,0,0,0,0,8,0,0,0
libc_a-tzvars.o,8,8,0,0,16,0,0,0,0
int_asm--set_intclear.o,0,0,8,0,8,0,0,0,0
libc_a-u_strerr.o,0,0,0,0,0,7,0,0,0
crti.o,0,0,0,3,3,3,0,0,0
emi.o,0,0,0,0,0,5,0,0,0
ke.o,0,0,0,0,0,5,0,0,0
syscntl.o,0,0,0,0,0,5,0,0,0
cxx_guards.cpp.obj,0,0,0,0,0,5,0,0,0
mspi_timing_tuning.c.obj,0,0,5,0,5,0,0,0,0
ubsan.c.obj,0,0,5,0,5,0,0,0,0
nvs_sec_provider.c.obj,0,0,0,0,0,5,0,0,0
pthread_cond_var.c.obj,0,0,0,0,0,5,0,0,0
pthread_rwlock.c.obj,0,0,0,0,0,5,0,0,0
pthread_semaphore.c.obj,0,0,0,0,0,5,0,0,0
crtbegin.o,0,0,0,0,0,0,4,0,0
crtend.o,0,0,0,0,0,0,4,0,0
btdm_log.o,4,0,0,0,4,0,0,0,0
eh_term_handler.o,4,0,0,0,4,0,0,0,0
lm.o,1,10,0,0,11,0,0,0,0
crt0.o,0,0,0,0,0,0,0,0,0
crtn.o,0,0,0,0,0,0,0,0,0
project_elf_src_esp32.c.,0,0,0,0,0,0,0,0,0
tw_ldcfg.c.obj,0,0,0,0,0,0,0,0,0
vprocTwolf_access.c.obj,0,0,0,0,0,0,0,0,0
vproc_common.c.obj,0,0,0,0,0,0,0,0,0
audio_sys.c.obj,0,0,0,0,0,0,0,0,0
bootloader_common.c.obj,0,0,0,0,0,0,0,0,0
bootloader_common_loader,0,0,0,0,0,0,0,0,0
bootloader_random_esp32.,0,0,0,0,0,0,0,0,0
bootloader_sha.c.obj,0,0,0,0,0,0,0,0,0
bootloader_utility.c.obj,0,0,0,0,0,0,0,0,0
esp_image_format.c.obj,0,0,0,0,0,0,0,0,0
flash_partitions.c.obj,0,0,0,0,0,0,0,0,0
flash_qio_mode.c.obj,0,0,0,0,0,0,0,0,0
bt_util_buf.o,0,0,0,0,0,0,0,0,0
bt_util_sp.o,0,0,0,0,0,0,0,0,0
lb_task.o,0,0,0,0,0,0,0,0,0
lc.o,0,0,0,0,0,0,0,0,0
lc_lmppdu.o,0,0,0,0,0,0,0,0,0
lc_sco.o,0,0,0,0,0,0,0,0,0
lc_sniff.o,0,0,0,0,0,0,0,0,0
lc_task.o,0,0,0,0,0,0,0,0,0
lc_util.o,0,0,0,0,0,0,0,0,0
ld.o,0,0,0,0,0,0,0,0,0
ld_fm.o,0,0,0,0,0,0,0,0,0
ld_inq.o,0,0,0,0,0,0,0,0,0
ld_pscan.o,0,0,0,0,0,0,0,0,0
ld_sched.o,0,0,0,0,0,0,0,0,0
ld_sscan.o,0,0,0,0,0,0,0,0,0
lm_sco.o,0,0,0,0,0,0,0,0,0
libc_a-__call_atexit.o,0,0,0,0,0,0,0,0,0
libc_a-arc4random.o,0,0,0,0,0,0,0,0,0
libc_a-atoi.o,0,0,0,0,0,0,0,0,0
libc_a-bzero.o,0,0,0,0,0,0,0,0,0
libc_a-clearerr.o,0,0,0,0,0,0,0,0,0
libc_a-ctype_.o,0,0,0,0,0,0,0,0,0
libc_a-div.o,0,0,0,0,0,0,0,0,0
libc_a-environ.o,0,0,0,0,0,0,0,0,0
libc_a-envlock.o,0,0,0,0,0,0,0,0,0
libc_a-exit.o,0,0,0,0,0,0,0,0,0
libc_a-explicit_bzero.o,0,0,0,0,0,0,0,0,0
libc_a-fclose.o,0,0,0,0,0,0,0,0,0
libc_a-ferror.o,0,0,0,0,0,0,0,0,0
libc_a-fflush.o,0,0,0,0,0,0,0,0,0
libc_a-fgetc.o,0,0,0,0,0,0,0,0,0
libc_a-ftell.o,0,0,0,0,0,0,0,0,0
libc_a-ftello.o,0,0,0,0,0,0,0,0,0
libc_a-getenv_r.o,0,0,0,0,0,0,0,0,0
libc_a-gmtime.o,0,0,0,0,0,0,0,0,0
libc_a-itoa.o,0,0,0,0,0,0,0,0,0
libc_a-memchr.o,0,0,0,0,0,0,0,0,0
libc_a-memcmp.o,0,0,0,0,0,0,0,0,0
libc_a-memcpy.o,0,0,0,0,0,0,0,0,0
libc_a-memmove.o,0,0,0,0,0,0,0,0,0
libc_a-memset.o,0,0,0,0,0,0,0,0,0
libc_a-putchar.o,0,0,0,0,0,0,0,0,0
libc_a-qsort.o,0,0,0,0,0,0,0,0,0
libc_a-rand.o,0,0,0,0,0,0,0,0,0
libc_a-remove.o,0,0,0,0,0,0,0,0,0
libc_a-rewind.o,0,0,0,0,0,0,0,0,0
libc_a-rget.o,0,0,0,0,0,0,0,0,0
libc_a-sccl.o,0,0,0,0,0,0,0,0,0
libc_a-setbuf.o,0,0,0,0,0,0,0,0,0
libc_a-setvbuf.o,0,0,0,0,0,0,0,0,0
libc_a-stdio.o,0,0,0,0,0,0,0,0,0
libc_a-strcasecmp.o,0,0,0,0,0,0,0,0,0
libc_a-strcasestr.o,0,0,0,0,0,0,0,0,0
libc_a-strcat.o,0,0,0,0,0,0,0,0,0
libc_a-strchr.o,0,0,0,0,0,0,0,0,0
libc_a-strcmp.o,0,0,0,0,0,0,0,0,0
libc_a-strcpy.o,0,0,0,0,0,0,0,0,0
libc_a-strcspn.o,0,0,0,0,0,0,0,0,0
libc_a-strdup.o,0,0,0,0,0,0,0,0,0
libc_a-strdup_r.o,0,0,0,0,0,0,0,0,0
libc_a-strerror_r.o,0,0,0,0,0,0,0,0,0
libc_a-strlcat.o,0,0,0,0,0,0,0,0,0
libc_a-strlcpy.o,0,0,0,0,0,0,0,0,0
libc_a-strlen.o,0,0,0,0,0,0,0,0,0
libc_a-strncasecmp.o,0,0,0,0,0,0,0,0,0
libc_a-strncmp.o,0,0,0,0,0,0,0,0,0
libc_a-strncpy.o,0,0,0,0,0,0,0,0,0
libc_a-strndup.o,0,0,0,0,0,0,0,0,0
libc_a-strndup_r.o,0,0,0,0,0,0,0,0,0
libc_a-strnlen.o,0,0,0,0,0,0,0,0,0
